credit_score,income,loan_amount,loan_term,interest_rate,debt_to_income_ratio,employment_years,savings_balance,age,default_risk_score
336,99273.0,37117.0,12,10.83,26.08,23,87362.0,43,2743.5871737398047
700,73625.0,30498.0,48,4.3,28.34,2,14779.0,36,3954.266879212328
362,130616.0,36348.0,36,11.89,13.25,7,86148.0,66,2877.6311632024626
322,118656.0,7539.0,48,5.58,27.22,24,6895.0,43,8649.793302105776
605,56444.0,41495.0,12,10.92,13.26,27,94977.0,28,1772.0146175730372
777,45963.0,21376.0,48,7.53,25.67,0,18807.0,53,5772.818026674953
576,105680.0,47828.0,48,6.35,40.14,5,10929.0,66,550.2202239576534
811,61844.0,9437.0,36,7.86,25.84,33,74656.0,58,8124.891390114288
526,33919.0,19210.0,48,6.26,31.95,27,55982.0,38,6251.500879628893
305,23389.0,34252.0,60,2.81,36.84,25,20719.0,59,3299.0568784202915
635,101121.0,31526.0,48,11.53,21.08,6,84585.0,58,3743.7486118559054
721,148232.0,47080.0,24,3.34,14.93,23,46737.0,23,614.0306223939849
332,103691.0,45747.0,12,12.68,23.08,12,88780.0,48,1012.0217790370899
446,61235.0,49517.0,60,7.24,29.35,31,80907.0,32,216.6509005027739
306,84178.0,20036.0,48,12.91,21.92,8,82886.0,54,6164.3209363708775
588,145659.0,47891.0,24,7.64,11.56,0,81426.0,55,493.4225316255264
604,41195.0,40144.0,24,10.97,43.3,27,47708.0,37,2061.8108972264336
481,49257.0,35111.0,12,9.58,29.59,14,2972.0,26,3121.19528396075
459,53742.0,42846.0,36,2.6,45.01,1,49037.0,26,1558.8474765212256
338,81246.0,46991.0,60,2.68,17.08,27,39339.0,27,758.1500230931725
395,47420.0,25095.0,12,13.96,23.72,25,45591.0,37,5125.281420978788
485,125865.0,43595.0,48,11.24,30.23,19,98072.0,60,1407.1076399606181
766,66828.0,49912.0,12,5.93,12.02,5,38169.0,45,49.75793956823205
524,119804.0,15617.0,12,11.54,48.61,26,5057.0,69,6991.416454106245
476,72307.0,35841.0,12,13.51,32.7,2,44143.0,59,2970.7806938688022
818,112124.0,48404.0,36,13.72,31.65,24,62257.0,34,323.9243126648237
490,147706.0,15142.0,48,8.03,46.9,17,7847.0,29,7092.186843710283
783,94553.0,15634.0,36,10.77,25.91,8,78218.0,66,6901.364334155893
701,65500.0,6171.0,24,9.94,16.71,8,49961.0,54,8809.030830789628
384,139273.0,14587.0,24,7.89,10.24,1,68936.0,60,7232.803647953823
734,79720.0,36822.0,60,3.45,33.81,29,28251.0,65,2677.828441034413
353,134187.0,23037.0,60,11.99,46.52,3,63230.0,27,5546.197774707105
717,20281.0,13438.0,24,14.18,45.35,2,75379.0,27,7376.579615920926
647,135621.0,25567.0,60,3.39,17.85,3,15762.0,57,4959.408050545032
465,50707.0,34545.0,60,4.44,42.47,4,98682.0,31,3218.869365271883
749,101958.0,44896.0,36,9.66,28.87,3,46950.0,47,1046.3416260420797
506,105530.0,44019.0,24,6.58,19.87,16,45807.0,29,1271.9333563282182
649,137832.0,37373.0,24,10.19,17.57,9,87132.0,45,2586.435559430766
464,86672.0,11172.0,24,9.71,15.08,3,29332.0,22,7890.871025572811
641,92545.0,33671.0,12,11.85,49.58,18,20991.0,28,3342.2866829178893
759,78606.0,40196.0,48,11.06,22.23,4,57196.0,30,1980.130548820378
399,49192.0,11430.0,24,6.51,33.46,12,31225.0,58,7848.987784194554
734,31653.0,10105.0,12,7.4,35.26,20,45712.0,36,8000.068616969632
411,89346.0,21456.0,24,8.78,25.2,17,13237.0,41,5849.528925487685
428,103559.0,48461.0,48,4.99,36.85,25,65864.0,39,428.5417638483693
685,89768.0,28669.0,60,7.92,11.11,20,62119.0,29,4295.67220306373
604,75554.0,13325.0,60,3.97,30.24,11,29592.0,24,7409.867784087272
833,102503.0,43019.0,48,8.66,35.82,26,18161.0,28,1433.0758910933478
388,114242.0,12927.0,60,4.53,39.69,24,18768.0,37,7562.30776901257
672,120732.0,11979.0,12,11.14,15.6,27,20187.0,51,7630.8494168153065
503,43874.0,38613.0,60,9.27,46.32,30,78816.0,18,2373.4518060263085
708,100395.0,43098.0,24,5.36,24.0,27,9930.0,65,1421.1621702437044
542,84881.0,23994.0,48,3.13,28.44,2,74123.0,50,5277.280320655798
558,47935.0,29489.0,24,11.26,18.75,23,73302.0,43,4177.306268485559
736,69786.0,39865.0,36,2.88,25.34,8,34268.0,47,2083.898303221923
346,66600.0,25609.0,36,7.74,26.59,34,25020.0,54,5026.26444632821
417,120734.0,30279.0,12,3.89,14.5,0,41964.0,28,4086.732191561825
704,143274.0,47003.0,24,8.54,47.38,5,7490.0,69,667.1060663387036
402,126296.0,27473.0,12,11.22,43.4,24,93721.0,56,4640.2724843789
357,46172.0,13984.0,24,9.51,12.46,8,33798.0,50,7342.6928503687805
815,125221.0,11397.0,60,8.88,31.96,30,3641.0,35,7751.829459524856
398,64413.0,44933.0,24,4.96,20.45,28,59758.0,42,1140.659991232642
828,139044.0,46971.0,12,6.6,25.73,30,49112.0,64,608.4531044365314
541,61846.0,32413.0,48,14.02,32.81,30,60926.0,57,3606.712667040984
300,92595.0,23052.0,24,13.31,17.16,20,57572.0,47,5556.453338029361
696,85082.0,42605.0,48,3.46,34.2,17,30297.0,37,1538.6369545979628
500,116443.0,47422.0,60,8.24,46.01,33,8123.0,23,655.4266685030653
647,140075.0,25829.0,36,14.33,27.16,28,77567.0,18,4894.150763717111
395,148748.0,32605.0,60,11.45,24.12,26,85610.0,27,3603.224422548834
324,68874.0,49002.0,24,9.94,25.47,12,74632.0,33,369.5708048385137
775,73268.0,22030.0,60,2.88,10.26,3,74991.0,45,5618.45963992275
443,102495.0,11530.0,60,10.77,35.11,14,41831.0,19,7824.005916201938
340,105469.0,48790.0,12,14.63,21.58,11,83996.0,41,397.3654199210385
419,106213.0,48360.0,60,11.9,22.64,1,35454.0,58,456.46952067570817
446,43510.0,21014.0,48,14.16,36.47,10,35507.0,64,5937.291796983412
454,148301.0,21163.0,12,13.64,39.21,7,98256.0,69,5888.063134879829
734,62240.0,18521.0,36,14.64,47.91,4,73994.0,43,6338.866413079504
516,125921.0,44778.0,48,6.07,26.45,14,18562.0,41,1149.43693378509
699,84754.0,10435.0,36,9.26,40.25,2,1951.0,39,7964.989481278722
676,132153.0,28486.0,60,5.03,35.01,29,28561.0,42,4354.78362689541
613,47376.0,16421.0,48,3.94,12.48,27,92705.0,65,6796.638029899568
443,69138.0,27420.0,36,12.23,29.33,1,46157.0,48,4666.276103040523
787,48831.0,16138.0,48,8.56,23.52,25,23535.0,54,6811.725330917874
796,64813.0,18673.0,36,10.91,28.61,9,44460.0,53,6282.859035823956
450,88344.0,9798.0,60,12.69,30.47,16,27499.0,45,8172.72928247401
602,38639.0,10926.0,12,12.48,17.95,5,37792.0,55,7890.43096055766
755,49711.0,11441.0,36,7.6,15.24,6,94968.0,68,7732.177731531289
638,54832.0,28561.0,60,3.69,30.74,13,89031.0,47,4348.387384534953
483,138249.0,12227.0,60,13.47,23.64,28,29680.0,58,7666.038149226309
358,31555.0,26592.0,24,14.63,27.04,25,6789.0,35,4844.4669028272765
377,134306.0,35682.0,48,7.16,18.79,4,98695.0,64,2992.6159377861086
603,133824.0,22727.0,12,5.86,46.74,15,74777.0,37,5540.154580076205
576,21591.0,10693.0,48,10.68,18.65,28,55698.0,57,7937.052485243123
645,70677.0,11519.0,12,14.79,17.61,15,73889.0,26,7739.81555048102
497,72375.0,42778.0,36,5.89,21.73,1,5796.0,20,1567.1629340233344
802,103976.0,47845.0,12,6.76,43.46,33,26336.0,32,449.0341807097173
673,76276.0,47368.0,60,14.47,23.65,9,68607.0,52,565.9928726414648
423,77132.0,31160.0,36,11.66,41.69,19,8222.0,20,3894.5239109558597
421,116523.0,36463.0,24,13.27,26.79,27,7856.0,54,2858.7136730022044
309,145836.0,14067.0,48,14.52,30.22,8,28615.0,69,7364.611679625584
686,103807.0,21531.0,48,9.84,41.9,0,85879.0,19,5743.915739216816
340,55111.0,17040.0,24,3.21,36.92,8,92918.0,50,6742.135927252496
801,71886.0,11629.0,48,10.15,42.33,15,72178.0,32,7688.619190482007
515,63585.0,12521.0,12,8.66,31.54,15,8593.0,68,7595.431989414193
525,52733.0,35137.0,12,12.37,38.02,20,88534.0,18,3077.867153813792
741,57198.0,16130.0,60,14.71,10.55,7,66576.0,29,6800.793464401445
478,120375.0,31928.0,12,3.2,49.77,21,85468.0,44,3720.4254204595754
664,23430.0,14686.0,60,9.19,35.3,27,48893.0,19,7127.885344417524
697,81916.0,15756.0,36,5.75,49.49,23,44135.0,50,6894.634299815738
690,20619.0,20149.0,60,3.02,22.0,33,10635.0,46,6007.984564149796
532,44860.0,22630.0,48,10.93,33.13,13,26739.0,37,5572.1307027296925
582,142926.0,23743.0,48,9.84,39.88,19,50568.0,32,5350.323842505208
427,33669.0,14122.0,60,13.72,27.35,25,85501.0,26,7315.246946124943
709,80315.0,37262.0,12,14.11,10.01,6,17459.0,54,2606.927607980574
772,114071.0,28711.0,48,11.79,39.15,12,23806.0,32,4300.793379936437
313,116999.0,12761.0,36,9.41,40.1,12,71749.0,42,7590.612275492488
817,29078.0,35254.0,12,7.87,20.09,24,5534.0,31,2968.4419813858503
760,21341.0,18076.0,60,14.39,49.68,1,45406.0,40,6431.9252443405985
397,88916.0,27656.0,48,3.28,13.51,25,47819.0,58,4588.632515417546
405,133811.0,39958.0,60,2.65,26.34,21,1524.0,50,2131.9913682325555
318,149839.0,12758.0,12,11.2,18.82,5,43890.0,27,7622.433452130697
467,53062.0,37784.0,60,6.57,11.82,29,99468.0,26,2531.1988193815705
535,130198.0,33047.0,12,6.02,42.81,15,20842.0,20,3504.1703174907093
677,67414.0,15487.0,12,4.54,42.2,32,16709.0,50,6959.192831237514
613,136074.0,22087.0,36,2.81,46.17,1,26287.0,37,5668.569576734795
830,33281.0,31724.0,60,5.4,23.41,14,86669.0,29,3658.110111637091
523,132302.0,23544.0,12,3.56,20.45,31,51153.0,48,5372.539858520312
309,88878.0,16889.0,24,5.96,32.14,6,2523.0,42,6783.105614346386
659,124101.0,20379.0,12,13.28,44.36,19,78608.0,47,5994.351843197588
668,88577.0,23394.0,48,4.43,39.68,27,19276.0,37,5372.405505680732
612,54707.0,30150.0,36,13.49,37.84,30,95046.0,55,4023.8220261136507
368,130177.0,16871.0,12,5.04,42.12,11,78082.0,45,6773.376623003172
505,109399.0,31200.0,12,5.63,40.41,15,71318.0,54,3870.4019780427984
558,47083.0,31189.0,12,11.21,26.63,11,67863.0,43,3863.480362893755
647,113106.0,26991.0,12,10.85,16.35,23,4381.0,31,4665.898877104216
354,103310.0,16205.0,48,4.77,15.29,32,42495.0,61,6906.063362419695
825,75230.0,44110.0,48,8.08,38.96,22,87421.0,58,1165.7500416210871
415,63001.0,21669.0,36,3.97,42.8,34,87580.0,49,5811.104763697786
456,144677.0,49629.0,48,4.56,38.25,15,90347.0,37,189.31791293332415
436,53320.0,23284.0,60,8.77,34.17,5,46182.0,47,5475.862396987976
511,132755.0,6651.0,60,6.89,44.46,26,67005.0,30,8775.475244028912
601,77056.0,8750.0,48,12.83,21.65,22,58453.0,42,8330.416140018917
615,49241.0,38548.0,24,4.62,45.18,0,19558.0,43,2372.8964783634055
328,95418.0,8631.0,36,5.61,16.8,8,77924.0,67,8420.813658019108
713,137369.0,31984.0,36,8.7,25.91,25,8989.0,45,3662.938167159385
847,46289.0,10017.0,24,12.99,14.22,20,70198.0,32,7990.016334463868
807,132831.0,14866.0,60,11.34,12.91,31,50222.0,18,7040.244297750335
394,39982.0,34739.0,36,5.13,10.9,23,58703.0,45,3195.5826971872366
514,62534.0,26223.0,60,2.92,45.12,18,38098.0,31,4874.8479415562015
567,90831.0,33141.0,60,12.56,26.22,4,80373.0,54,3469.226598239616
798,44354.0,9760.0,60,5.97,16.25,10,6794.0,30,8070.082985112598
569,32112.0,43360.0,48,6.33,37.89,31,91009.0,63,1396.244892252472
548,49009.0,19537.0,60,4.96,39.17,21,28906.0,61,6179.770460571751
622,144343.0,14715.0,48,2.74,42.4,32,24976.0,56,7122.686037536422
824,148583.0,42174.0,24,5.24,12.28,17,56096.0,53,1585.8217463294422
557,45559.0,35158.0,60,10.71,47.64,3,42719.0,23,3079.0367075011254
522,147015.0,18828.0,60,6.88,13.21,29,3782.0,24,6338.322493931225
626,51575.0,32425.0,36,14.97,15.7,16,26849.0,26,3588.8399373102116
692,54636.0,40585.0,48,5.28,17.6,4,73396.0,51,1909.5778071163788
672,79052.0,40840.0,60,14.73,33.33,13,38506.0,50,1877.1979976819498
447,98187.0,32042.0,60,9.3,35.35,1,99244.0,67,3703.631110564518
716,132217.0,14074.0,36,12.16,30.65,9,77658.0,48,7221.064028178947
362,121678.0,34450.0,36,12.8,35.82,17,74554.0,40,3260.228152203196
394,71027.0,24873.0,60,9.68,20.25,1,57853.0,31,5178.10062975882
691,82187.0,9255.0,24,3.38,44.94,22,65747.0,53,8195.703598894313
737,46431.0,6724.0,60,3.76,33.88,34,1214.0,58,8690.250807461123
457,99141.0,35112.0,36,7.5,39.52,25,76302.0,50,3096.3417437150147
355,52981.0,11643.0,12,5.23,40.05,29,3232.0,65,7827.400614921858
760,72930.0,39964.0,24,13.29,29.53,2,95042.0,64,2032.6322415227096
528,119911.0,14496.0,60,6.24,22.26,34,22301.0,62,7200.231352048387
645,122471.0,6828.0,48,7.59,37.67,24,98273.0,61,8684.94535501522
763,149828.0,22014.0,60,3.51,47.84,23,36839.0,62,5629.477975755613
662,115317.0,10997.0,48,9.46,42.35,4,76920.0,30,7860.578832118814
338,83483.0,15258.0,48,5.62,47.8,18,968.0,31,7111.43833832307
402,135672.0,27663.0,60,5.71,27.06,12,38346.0,52,4605.340076402774
478,128542.0,23658.0,24,5.11,31.78,13,10940.0,32,5409.983292964593
847,112108.0,31715.0,36,8.42,33.52,6,83569.0,35,3656.3571761327303
502,37850.0,41451.0,12,4.99,34.04,22,5188.0,48,1822.2563900618418
316,132573.0,8083.0,12,7.41,34.68,12,81103.0,59,8528.547458687412
345,146740.0,12909.0,60,6.6,48.63,14,83245.0,57,7596.822199321196
383,64738.0,26800.0,60,14.16,25.09,28,43052.0,40,4776.5966566301395
314,94441.0,26817.0,12,10.91,44.29,14,78648.0,39,4811.521266783082
552,61755.0,28312.0,12,12.54,10.88,13,88290.0,32,4417.976884002602
754,131785.0,35784.0,24,5.8,30.94,34,75164.0,51,2876.901470717728
456,57904.0,46986.0,12,7.17,42.97,14,15791.0,19,733.6065188909253
530,32254.0,32117.0,60,10.61,44.62,5,75839.0,27,3680.0457440369464
405,102879.0,39196.0,48,9.54,41.95,12,66273.0,57,2317.965644943959
831,144088.0,14346.0,60,2.58,31.38,12,50255.0,40,7112.934153509636
756,50561.0,19818.0,36,9.74,11.93,30,93710.0,59,6042.071040663063
697,114006.0,44310.0,12,14.61,10.65,3,28.0,34,1184.4786589146802
470,71860.0,41378.0,36,5.84,14.11,7,82674.0,60,1842.262194952413
368,73947.0,5671.0,36,4.89,16.53,20,20365.0,30,8999.949297204705
760,143395.0,28953.0,48,14.51,26.74,1,60030.0,66,4238.685642800864
516,83852.0,33602.0,36,5.52,25.29,29,1541.0,19,3396.4909458444076
532,71756.0,45761.0,48,12.45,12.38,0,79553.0,63,959.6978018374122
434,108929.0,30519.0,60,7.55,34.78,9,57676.0,64,4022.874943404989
538,86504.0,38691.0,60,11.64,28.76,2,12336.0,57,2378.244986376597
530,95186.0,16563.0,48,4.74,44.64,9,69211.0,31,6792.420604450177
584,54701.0,28563.0,36,12.54,33.08,21,4924.0,36,4375.121265354977
374,43196.0,45718.0,12,7.73,42.47,26,7244.0,60,1000.9018491981426
775,87278.0,10906.0,24,4.46,17.87,27,21168.0,27,7842.051719773996
563,111155.0,31170.0,36,13.58,14.39,28,82212.0,61,3835.595351811359
807,35251.0,36656.0,36,5.92,36.52,25,94830.0,45,2680.2557981532855
548,105553.0,47815.0,12,13.31,26.01,23,44252.0,64,529.2951469782759
425,149478.0,15805.0,12,3.21,45.19,7,22784.0,39,6974.223599644582
332,71474.0,21173.0,60,11.31,27.1,16,54401.0,66,5919.164491517251
387,113065.0,35659.0,60,6.7,11.15,6,76448.0,42,3013.806579262195
336,144165.0,36174.0,60,5.03,32.19,27,53331.0,56,2910.1867625564837
550,121148.0,17275.0,24,9.79,18.4,33,9677.0,28,6656.73067291677
645,136021.0,38768.0,36,4.15,29.7,16,15605.0,39,2337.7342638247824
541,144130.0,36116.0,24,7.46,12.05,22,80021.0,19,2872.3449341042574
488,74028.0,10772.0,48,8.14,16.51,14,81029.0,42,7941.324701472606
593,109613.0,28384.0,12,5.6,15.73,32,55718.0,55,4384.210784435987
740,43821.0,44279.0,24,9.91,23.37,34,59274.0,55,1168.4190322728066
479,106475.0,28128.0,24,8.53,16.7,32,24485.0,51,4493.00325537417
841,81788.0,8081.0,36,6.28,36.76,11,16608.0,48,8388.734738371864
617,48380.0,37591.0,36,5.97,17.83,28,71545.0,35,2524.2723578601294
761,55772.0,46974.0,12,8.54,37.56,12,33123.0,45,649.1442872112998
408,67638.0,29345.0,48,4.85,43.57,18,41034.0,65,4285.729504390526
702,22983.0,46621.0,12,12.98,10.04,29,56321.0,45,700.3314042515008
692,107263.0,38160.0,24,14.95,43.69,3,92103.0,25,2432.9186328345036
443,22469.0,40153.0,36,5.87,27.67,33,98865.0,18,2089.6496475608647
717,84674.0,30643.0,24,7.03,21.56,30,81542.0,46,3906.4306476110446
455,124734.0,7551.0,36,7.31,16.23,15,48521.0,66,8600.151725311709
444,103869.0,38937.0,12,4.4,22.48,32,30936.0,41,2324.5277584801397
648,115402.0,19996.0,60,14.39,21.83,7,68322.0,69,6038.280875463068
489,119616.0,39317.0,48,5.89,41.99,20,3435.0,59,2240.000695475491
412,91652.0,48936.0,24,7.17,12.76,10,85311.0,27,336.1605046380333
747,94131.0,23322.0,24,2.59,19.31,19,38931.0,68,5380.5260966352735
695,81212.0,21087.0,12,5.9,32.16,2,37207.0,45,5844.5895125958095
693,70069.0,30051.0,12,8.58,48.1,20,69795.0,65,4045.000445735036
792,135005.0,17411.0,60,13.63,25.24,18,16138.0,33,6545.839589318199
822,85661.0,26953.0,48,6.36,18.23,33,76428.0,64,4592.274037831554
618,40022.0,5162.0,24,6.47,36.53,15,99318.0,31,9051.858920426206
336,24494.0,12446.0,12,7.99,13.44,25,61892.0,29,7654.784469678543
445,80545.0,38453.0,48,7.79,32.56,5,5609.0,36,2470.980731617709
385,122979.0,45108.0,60,7.35,44.88,2,4532.0,50,1147.9724686164152
608,121332.0,24508.0,48,11.59,22.26,13,12305.0,23,5189.669984034675
395,132855.0,13429.0,60,12.77,33.27,33,28400.0,41,7460.28257438184
633,22356.0,39782.0,24,14.54,35.95,27,60213.0,27,2105.7179299675217
803,93972.0,41378.0,60,4.51,31.27,15,42929.0,31,1736.1887075025872
645,117241.0,16695.0,48,12.56,20.88,9,99174.0,27,6722.182898496773
793,30225.0,21021.0,24,6.34,29.56,10,27563.0,56,5839.589435187933
460,121371.0,9033.0,36,11.68,38.38,25,19360.0,30,8323.154708948061
624,84772.0,36497.0,24,3.36,35.2,13,89630.0,61,2768.2200481848727
807,116347.0,17693.0,24,13.06,45.02,22,30348.0,45,6482.504745708176
735,126625.0,23489.0,24,5.33,10.53,17,5153.0,43,5346.1812101030155
393,103560.0,16916.0,48,13.47,13.17,3,71621.0,56,6750.991922834134
432,97236.0,33411.0,12,2.89,32.95,26,11434.0,51,3449.245466930485
817,53756.0,28911.0,12,14.97,21.53,1,42578.0,26,4239.2182278765395
662,47490.0,32733.0,24,12.51,26.7,6,88478.0,28,3515.294094758482
703,86081.0,22625.0,48,8.03,20.18,12,89647.0,18,5532.564656507338
812,49759.0,23313.0,36,12.98,22.14,1,24502.0,25,5360.658510757803
500,43051.0,31966.0,12,11.72,26.45,16,11560.0,68,3725.1707883498593
384,68901.0,48541.0,36,3.28,47.66,4,9505.0,38,447.2985779323345
352,52921.0,49298.0,12,12.3,19.2,10,70434.0,25,285.60846892746457
392,149749.0,10110.0,48,14.87,40.32,11,24161.0,49,8136.36947813148
707,74842.0,41035.0,60,5.43,22.63,30,59117.0,36,1835.3022190984059
677,69153.0,23708.0,48,10.73,22.82,19,7213.0,42,5311.923549837671
534,122302.0,12394.0,12,13.49,32.31,16,4655.0,28,7622.885351101924
301,61786.0,42384.0,48,5.73,21.84,31,86246.0,28,1664.4066089269265
314,74912.0,27612.0,60,14.31,25.88,2,58047.0,32,4646.747807409224
599,101941.0,7839.0,12,4.07,19.95,26,71820.0,39,8494.773976737823
816,80461.0,44040.0,36,13.06,13.09,28,87458.0,30,1187.6300670707708
597,74620.0,32213.0,60,3.36,32.26,18,75761.0,69,3643.0136363076267
317,20806.0,15699.0,12,3.54,45.92,3,89876.0,47,7022.68429229785
582,32676.0,5661.0,24,6.92,33.14,34,21359.0,55,8938.344508098806
433,83888.0,33138.0,60,14.1,49.7,28,35863.0,30,3521.68972575309
824,74756.0,18467.0,48,5.64,36.95,8,95041.0,41,6318.716900702105
464,125284.0,29217.0,12,11.64,25.47,12,14429.0,56,4279.232781107587
707,27813.0,39964.0,36,9.99,15.41,22,79971.0,48,2037.2343013631144
368,148267.0,19357.0,60,12.76,10.02,4,50493.0,61,6269.758774566144
746,102970.0,43787.0,48,4.34,18.56,34,23290.0,35,1284.8803705277742
772,97454.0,39054.0,12,3.82,21.04,11,80664.0,23,2185.498221355026
335,21750.0,11894.0,48,14.56,49.17,11,50390.0,53,7778.5125754976625
357,46660.0,33082.0,48,12.96,22.61,18,14706.0,39,3534.5192069202285
333,147118.0,35447.0,60,12.01,38.2,30,99083.0,29,3073.498792976315
